"Model","variable","value"
"OneSex","X1",0
"OneSex","X2",0
"OneSex","X3",4.475
"OneSex","X4",4.474
"OneSex","X5",0
"OneSex","X6",0
"OneSex","X7",0
"OneSex","X8",0
"OneSex","X9",0
"OneSex","X10",0
"OneSex","X11",0
"OneSex","X12",0
"OneSex","X13",0
"OneSex","X14",0
"OneSex","X15",22.406
"OneSex","X16",50.816
"OneSex","X17",0
"OneSex","X18",0
"OneSex","X19",0
"OneSex","X20",0
"OneSex","X21",5.247
"OneSex","X22",5.247
"OneSex","X23",0
"OneSex","X24",0
"OneSex","X25",0
"OneSex","X26",0
"OneSex","X27",0
"OneSex","X28",0
"OneSex","X29",0
"OneSex","X30",0
"OneSex","X31",0
"OneSex","X32",0
"OneSex","X33",0
"OneSex","X34",0
"OneSex","X35",0
"OneSex","X36",0
"OneSex","Total",92.666
